Title,Description,Source,Published Date,URL,Sentiment Score,Transport Status,Lead Time (days),Geopolitical Risk,route_risk_level,Risk Factor
"Temu, Shein See US Sales Drop After Trump Targets China Trade",(Bloomberg) -- Online shopping giants Temu and Shein have seen a sustained drop in sales in the week after US President Donald Trump scrapped a duty...,Yahoo Entertainment,12-02-2025 12:40,https://finance.yahoo.com/news/temu-shein-see-us-sales-071042764.html,0.0,In Transit,14,Medium,4.986957496,Low
"The Labor Market Is Getting Battered, but You Wouldn't Know Looking at the Data","Layoffs, wildfires and deportations. Why is the jobs report still positive?",CNET,10-02-2025 22:03,https://www.cnet.com/personal-finance/the-labor-market-is-getting-battered-but-you-wouldnt-know-looking-at-the-data/,0.227272727,In Transit,4,High,9.720374521,High
"US Postal Service will accept packages from China, Hong Kong after freeze",Postal Service says working with US border agency on 'efficient collection mechanism' for Donald Trump's China tariffs.,Al Jazeera English,05-02-2025 19:58,https://www.aljazeera.com/news/2025/2/5/us-postal-service-will-accept-packages-from-china-hong-kong-after-freeze,0.0,In Transit,26,Low,8.035103685,Medium
Three Threat Predictions For 2025 And How Companies Can Mitigate Them,Organizations that prioritize risk mitigation and resilience while adapting their strategies to emerging risks and the changing environment will be positioned to thrive.,Forbes,07-02-2025 17:45,https://www.forbes.com/councils/forbesbusinesscouncil/2025/02/07/three-threat-predictions-for-2025-and-how-companies-can-mitigate-them/,0.0,Delayed,25,Medium,8.645449487,Medium
Inside Appleï¿½s Massive $500 Billion AI Bet,"Apple has yet again made another big money tech commitment, just like it did in 2018 and 2021. But what does it really mean this time?",Forbes,27-02-2025 06:25,https://www.forbes.com/sites/kolawolesamueladebayo/2025/02/26/inside-apples-massive-500-billion-ai-bet/,-0.15625,Delayed,1,High,4.865510183,High
The Hidden Risks of Data-Driven Supply Chains,"More businesses are turning to big data to manage their supply chains, but this is creating many security risks as well.",Smartdatacollective.com,12-02-2025 02:53,https://www.smartdatacollective.com/hidden-risks-of-data-driven-supply-chains/,0.333333333,Pending,18,Low,5.157934249,Medium
A Key Resource CEOs Canï¿½t Manufacture: Time,Balancing the demands of maintaining current systems while simultaneously transforming them is like asking your managers to retool a machine while itï¿½s still running.,Forbes,18-02-2025 02:23,https://www.forbes.com/sites/forbesbooksauthors/2025/02/17/a-key-resource-ceos-cant-manufacture-time/,0.0,On Time,13,Medium,9.228818074,Medium
"For Manufacturers, The Immediate Price Of Tariffs Is Turmoil. The Rest Is TBD.",Thereï¿½s plenty to discuss about the implication of tariffs for small manufacturers and American manufacturing.,Forbes,04-02-2025 05:55,https://www.forbes.com/sites/ethankarp/2025/02/03/for-manufacturers-the-immediate-price-of-tariffs-is-turmoil-the-rest-is-tbd/,-0.125,Delivered,4,High,9.48664807,High
US-Mexico Tariff Delay: Top Goods Affected,"The agreement involves significant commitments from Mexico regarding border security, which played a crucial role in this decision.",Forbes,03-02-2025 22:04,https://www.forbes.com/sites/jessicaledingham/2025/02/03/us-mexico-tariff-delay-top-goods-affected/,0.1875,Delayed,20,Low,2.046978578,Low
Tackling Traditional Markets: Why You Should Care About Legacy Systems,"Legacy systems don't need to be discarded entirely, but they can't (and won't) be left untouched forever.",Forbes,07-02-2025 19:00,https://www.forbes.com/councils/forbestechcouncil/2025/02/07/tackling-traditional-markets-why-you-should-care-about-legacy-systems/,0.0,On Time,26,Medium,5.418797388,Medium
Trumpï¿½s tariffs: The US will now find out just how much it needs Mexico,The American jobs that Trump claims are 'threatened' by Mexico actually depend on it to exist.,Al Jazeera English,03-02-2025 22:04,https://www.aljazeera.com/opinions/2025/2/3/trumps-tariffs-the-us-will-now-find-out-just-how-much-it-needs-mexico,0.0,Pending,29,High,9.997401437,High
Can 18A save Intel from being devoured by its rivals ï¿½ and Wall Street?,"Intel's 18A process technology is finally ready, but will it be enough to fend off the wolves?",TechRadar,25-02-2025 03:31,https://www.techradar.com/computing/cpu/can-18a-save-intel-from-being-devoured-by-its-rivals-and-wall-street,0.1,Pending,27,Low,9.649943451,Medium
Using New Tech to Compete in an Old Industry,How ï¿½insurtechsï¿½ are changing the insurance business.,Harvard Business Review,12-02-2025 18:52,https://hbr.org/podcast/2025/02/using-new-tech-to-compete-in-an-old-industry,0.0,In Transit,18,Medium,8.833062607,Medium
Navigating Tariffs In The Brave New World Of North American Commerce,"How can businesses navigate the cross-border challenges that 2025 may bring, and what can we expect moving forward?",Forbes,07-02-2025 20:30,https://www.forbes.com/councils/forbesbusinesscouncil/2025/02/07/navigating-tariffs-in-the-brave-new-world-of-north-american-commerce/,0.0,Delayed,21,High,2.511617571,High
RGP ï¿½ Why Now Is a Mindshift Moment: A Conversation with Futurist Brian Solis,"Source Brian Solis is a world-renowned digital anthropologist and futuristï¿½who serves as the Head of Global Innovation at ServiceNow. In his role, Brian advises business and technology leaders around the world on business and digital innovation and transformaï¿½",Briansolis.com,27-02-2025 19:00,https://briansolis.com/2025/02/rgp-why-now-is-a-mindshift-moment-a-conversation-with-futurist-brian-solis/,0.0,On Time,11,Low,9.151203297,Medium
Tariffs and Travel: What Trumpï¿½s Trade Moves Could Mean for Airlines,President Trumpï¿½s proposed tariffs on aluminum and steel imports could have ripple effects on the aviation industry ï¿½ and eventually result in passengers footing the bill. -Krystin Arneson,Skift,21-02-2025 21:41,http://skift.com/2025/02/21/tariffs-and-travel-what-trumps-trade-moves-could-mean-for-airlines/,0.0,Delivered,4,Medium,9.756094114,Medium
February 24th ï¿½ 27th 2025 Supply Chain & Logistics News,"In the ever-evolving world of logistics, adaptability is key. This weekï¿½s top stories highlight the shifting landscape of supply chain resilience, major corporate investments, and geopolitical developments. From strategies to build antifragile supply chains tï¿½",Logisticsviewpoints.com,28-02-2025 17:30,https://logisticsviewpoints.com/2025/02/28/february-24th-27th-2025-supply-chain-logistics-news/,0.140625,In Transit,12,High,6.908288703,High
Beyond Resilience: 5 Steps to Building an Antifragile Supply Chain,"Why Resilience Is No Longer Enough Supply chains were once designed for efficiency, not disruption. But in todayï¿½s world of pandemics, geopolitical shocks, and extreme weather events, efficiency alone is a fragile strategy. The goal is no longer just resilienï¿½",Logisticsviewpoints.com,27-02-2025 17:30,https://logisticsviewpoints.com/2025/02/27/beyond-resilience-5-steps-to-building-an-antifragile-supply-chain/,-0.041666667,On Time,11,Low,9.800552623,Medium
European Auto Stocks Steady After Tariff Tumult,"Most auto shares rallied Tuesday after Trump started his tariffs campaign. When Europe faces the spotlight, non-tariff barriers might quickly turn the issue nasty.",Forbes,04-02-2025 23:43,https://www.forbes.com/sites/neilwinton/2025/02/04/european-auto-stocks-steady-after-tariff-tumult/,-0.055555556,Delivered,10,Medium,6.508680278,Medium
Navigating NIS 2 compliance [Q&A],"As the European Union updated the Network and Information Security (NIS 2) Directive in October last year, many companies were asking: what does it take to comply with this sweeping new regulation? Designed to tighten cybersecurity across critical industries,ï¿½",BetaNews,28-02-2025 16:46,https://betanews.com/2025/02/28/navigating-nis-2-compliance-qa/,0.127272727,Delivered,14,High,8.361834913,High
Trumpâs tariff threat on Taiwanâs semiconductors sends shockwaves through global tech industry,"In a move that could reshape global trade dynamics, U.S. President Donald Trump has threatened to impose tariffs of up to 100 percent on Taiwanï¿½s semiconductor industry. This decision comes at a time when Taiwan is a critical player in the global chip supply ï¿½",Naturalnews.com,05-02-2025 11:30,https://www.naturalnews.com/2025-02-05-trumps-tariff-threat-taiwans-semiconductors-sends-shockwaves.html,0.0,Delayed,19,Low,9.60455982,Medium
Action Not Reaction: How Manufacturers Keep Control In An Era Of Chaos,"Manufacturers must be agile enough to make decisions based on thriving tomorrow as well as surviving today. When chaos reigns, structured approaches and data-based action (not reaction) are the keys to staying in control.",Forbes,06-02-2025 19:36,https://www.forbes.com/sites/lisacaldwell/2025/02/06/action-not-reaction-how-manufacturers-keep-control-in-an-era-of-chaos/,0.2,Delivered,27,Medium,2.011103665,Low
13 Steps To Prep Your Business For Unpredictable Market Conditions,"Always remain in tune with clients. Join sales meetings to hear what keeps them up at night, so you can ensure your business addresses their concerns and opportunities.",Forbes,07-02-2025 18:45,https://www.forbes.com/councils/forbesbusinessdevelopmentcouncil/2025/02/07/13-steps-to-prep-your-business-for-unpredictable-market-conditions/,0.0,In Transit,16,High,8.651285674,High
"Engine Shortage Forces Air New Zealand to Scrap Seoul Route, Again","With almost all of its new-generation aircraft impacted by maintenance or delivery snags, Air New Zealand has had a tougher time than most. -Gordon Smith",Skift,05-02-2025 17:13,http://skift.com/2025/02/05/air-new-zealand-to-scrap-seoul-route-again/,0.318181818,On Time,22,Low,0.3901149,Low
Over 330 Million Credentials Compromised by Infostealers,Kela researchers 330 million compromised credentials to infostealer activity on over four million machines in 2024,Infosecurity Magazine,20-02-2025 19:30,https://www.infosecurity-magazine.com/news/330-million-credentials/,0.0,Delayed,3,Medium,9.035635197,Medium
Forget VUCA. The World Is BANI Now,"Explore why VUCA is outdated and how BANI (Brittle, Anxious, Nonlinear, Incomprehensible) offers a more accurate lens for understanding todayï¿½s unpredictable world.",Forbes,03-02-2025 17:30,https://www.forbes.com/sites/kevinkruse/2025/02/03/forget-vuca-bani-is-the-new-framework-world/,0.030555556,Delivered,24,High,9.454782639,High
India Is Building a Sanctions-Proof Supply Chain for Russian Oil,"Oil refiners in India ï¿½ eager to keep importing cheap crude from Russia ï¿½ are working with merchants, shippers and other middlemen to rebuild supply chains as tougher US sanctions come into effect. Speaking on the sidelines of Indiaï¿½s flagship ï¿½",Insurance Journal,13-02-2025 11:40,https://www.insurancejournal.com/news/international/2025/02/13/811712.htm,-0.141666667,Delivered,20,Low,9.999581955,Medium
Europeï¿½s Economy Needs A Reboot Using Sustainable AI In 2025,"While regulatory compliance sets the tone for the present, sustainability is a vision for the future.",Forbes,06-02-2025 18:00,https://www.forbes.com/councils/forbesbusinessdevelopmentcouncil/2025/02/06/europes-economy-needs-a-reboot-using-sustainable-ai-in-2025/,0.0,Delivered,13,Medium,9.035462938,Medium
Which sectors could be hit hardest by Donald Trumpï¿½s 25% tariffs? A Deutsche Bank exec weighs in,"Deepak Puri, Chief Investment Officer of Deutsche Bank (DB) Private Bank, spoke with Quartz for the latest installment of our ï¿½Smart Investingï¿½ video series.Read more...",Quartz India,12-02-2025 04:30,https://qz.com/sectors-hit-donald-trumps-25-steel-aluminum-tariffs-1851760847,0.303571429,Pending,3,High,9.999999746,High
Christmas Island finds a way to keep cost of veggies down,"With the cost of food substantially higher than on the Australian mainland, a horticulture project on Christmas Island is aiming to increase what is grown locally and help drive down costs.",ABC News (AU),16-02-2025 07:38,https://www.abc.net.au/news/2025-02-16/food-grown-locally-on-christmas-island-to-help-reduce-cost/104897212,0.023611111,Pending,4,Low,0.444060898,Low
What Investors Should Know About Investing During Rising Inflation,"Successful investors understand these three key factors, enabling them to craft an investment strategy tailored to current global conditions.",Forbes,25-02-2025 21:32,https://www.forbes.com/sites/chrisgunster/2025/02/25/what-investors-should-know-about-investing-during-rising-inflation/,0.1875,Delivered,21,Medium,9.897623321,Medium
Retail Disruption and how it impactsï¿½big brands,"Quick commerce thrives in India due to VC-funded discounts, reduced delivery costsï¿½thanks toï¿½high population density, and the disorganisedï¿½supply chain, says K Ganesh Founder & Partner, Growthstory.in",BusinessLine,08-02-2025 16:00,https://www.thehindubusinessline.com/multimedia/audio/retail-disruption-and-how-it-impacts-big-brands/article69195579.ece,0.142083333,In Transit,5,High,9.112012459,High
Why CFOs Need To Control Prices In A Disrupted Economy,"Also in the Forbes CFO newsletter: Two in five execs feel unprepared for market shocks, interest rates hold steady for now, Trump creates a U.S. sovereign wealth fund.",Forbes,04-02-2025 22:48,https://www.forbes.com/sites/cfo/2025/02/04/why-cfos-need-to-control-prices-in-a-disrupted-economy/,0.166666667,In Transit,22,Low,2.706109866,Low
"Lexus, Buick top J.D. Power's latest car dependability survey, with Volkswagen, Chrysler lagging behind","Lexus again tops the ranks of J.D. Powerï¿½s newest vehicle dependability survey, but owners overall are making more complaints as vehicles get more and more...",Yahoo Entertainment,15-02-2025 21:30,https://finance.yahoo.com/news/lexus-buick-top-jd-powers-latest-car-dependability-survey-with-volkswagen-chrysler-lagging-behind-160004587.html,0.375,On Time,28,Medium,9.993947135,Medium
Analyzing History and Getting to a Better Economic Future,We might be going through a large federal government spending cut in the range of $1 trillion to $2 trillion per year. This would be drop from $6.7 trillion in spending. The cuts would be 15% to 30% of the total spending. I worked with Grok 3 to come up with ï¿½,Next Big Future,18-02-2025 21:13,https://www.nextbigfuture.com/2025/02/analyzing-history-and-getting-to-a-better-economic-future.html,0.107142857,In Transit,20,High,9.997093843,High
How To Restructure DEI Efforts To Benefit Employees And Your Bottom Line,"Leverage demographic shifts to fuel innovation, competitiveness and financial success.",Forbes,04-02-2025 18:45,https://www.forbes.com/councils/forbesbusinesscouncil/2025/02/04/how-to-restructure-dei-efforts-to-benefit-employees-and-your-bottom-line/,0.15,Delivered,28,Low,9.648996586,Medium
"Public Health Emergencies Call For Readiness, Not Just Reaction","The damage from recent events will harm people's health for many years. It's time to prepare for and not just react to hurricanes, wildfires, and other threats.",Forbes,11-02-2025 01:28,https://www.forbes.com/sites/briancastrucci/2025/02/10/public-health-emergencies-call-for-readiness-not-just-reaction/,0.125,On Time,10,Medium,9.593559876,Medium
How AI Is Changing The Game In Manufacturing,"Scaling AI brings back many of the same hurdles manufacturers faced during the Industry 4.0 revolution: fragmented data, legacy systems, and workforce skepticism.",Forbes,20-02-2025 10:30,https://www.forbes.com/sites/sap/2025/02/20/how-ai-is-changing-the-game-in-manufacturing/,0.166666667,In Transit,29,High,9.999396988,High
WhatsApp disrupted a hacking campaign targeting journalists with Paragon spyware,Meta announced the disruption of a malware campaign via WhatsApp that targeted journalists with the Paragon spyware. Meta announced that discovered and dismantled a malware campaign via WhatsApp that targeted journalists and civil society members with the Parï¿½,Securityaffairs.com,02-02-2025 19:34,https://securityaffairs.com/173721/security/whatsapp-disrupted-paragon-spyware-campaign.html,0.0,In Transit,23,Low,4.640361103,Low
Tariffs Will Not Improve Life For Disgruntled Workers,Protectionist policies play to people who believe they are losing out to unfair overseas competition. But they can have unintended consequences.,Forbes,18-02-2025 01:56,https://www.forbes.com/sites/rogertrapp/2025/02/17/tariffs-will-not-improve-life-for-disgruntled-workers/,-0.5,Delivered,4,Medium,0.366193599,Low
Why Food Costs $350/Year for the Average American Household?,There are critical commodities and energy prices that impact global agriculture and grocery prices. It impacts other countries more but it still costs the average american household too. It hits the crops that use the most fertilizer and use the most natural ï¿½,Next Big Future,21-02-2025 22:22,https://www.nextbigfuture.com/2025/02/why-food-costs-350-year-for-the-average-american-household.html,0.147222222,Delivered,6,High,9.998611145,High
TRUTH BOMB: The REAL reason eggs are so expensive isnât at all what you think,"The rising cost of eggs is often linked to broader inflation under the current administration, but the egg industryï¿½s issues are more complex and severe. Multiple fires and explosions at egg factories, coupled with unverified bird flu outbreaks, have led to tï¿½",Naturalnews.com,06-02-2025 11:30,https://www.naturalnews.com/2025-02-06-truth-bomb-the-real-reason-eggs-are-so-expensive.html,0.05,Delayed,8,Low,7.118098157,Medium
OT/ICS cyber threats escalate as geopolitical conflicts intensify,"Ransomware attacks against industrial organizations surged by 87% over the past year, while new malware families designed specifically for OT environments emerged. These findings highlight a troubling trend: OT systems are increasingly becoming mainstream tarï¿½",Help Net Security,28-02-2025 20:30,https://www.helpnetsecurity.com/2025/02/28/dragos-2025-ot-ics-cybersecurity-report/,0.112121212,Pending,6,Medium,1.012249955,Low
Here's how much U.S. car prices could rise if Trump tariffs kick in,"Proposed 25% U.S. tariffs on Canada and Mexico could lead to a sharp increase in vehicle prices, auto industry executives and analysts say.",CBS News,07-02-2025 18:23,https://www.cbsnews.com/news/trump-tariffs-canada-mexico-car-prices-automakers-ford/,-0.125,In Transit,4,High,3.515704571,High
India Is Building a Sanctions-Proof Supply Chain for Russian Oil,"Oil refiners in India ï¿½ eager to keep importing cheap crude from Russia ï¿½ are working with merchants, shippers and other middlemen to rebuild supply chains as tougher US sanctions come into effect.",gcaptain.com,12-02-2025 22:16,https://gcaptain.com/india-is-building-a-sanctions-proof-supply-chain-for-russian-oil/,-0.141666667,Delivered,20,Low,4.747639403,Low
Winners And Losers In Trumpï¿½s Reciprocal Tariff Strategy,"President Donald Trumpï¿½s shift in policy to reciprocal tariffs is a relief to markets, U.S. consumers and most trading partners.",Forbes,18-02-2025 02:31,https://www.forbes.com/sites/garthfriesen/2025/02/17/winners-and-losers-in-trumps-reciprocal-tariff-strategy/,0.5,Delivered,9,Medium,6.328277475,Medium
The many reasons egg prices are skyrocketing under Trump.,"The wholesale price for a dozen eggs in U.S. cities hit $4.95 last month, more than 50% higher than this time last year. Bird flu, greedflation and big corporations are all to blame.",MSNBC,25-02-2025 03:44,https://www.msnbc.com/opinion/msnbc-opinion/egg-prices-trump-inflation-bird-flu-rcna193007,0.15,In Transit,1,High,0.88444,High
Massive botnet hits Microsoft 365 accounts,"A recently discovered botnet of over 130,000 compromised devices is launching coordinated password-spraying attacks against Microsoft 365 (M365) accounts. Security researchers at SecurityScorecard are examining possible connections to China-affiliated threat ï¿½",Help Net Security,24-02-2025 18:41,https://www.helpnetsecurity.com/2025/02/24/botnet-hits-microsoft-365-accounts/,0.0,Delayed,22,Low,5.424795614,Medium
ITF Group Helps Food Distributors Withstand Potential Tariff Disruptions,Supply chain leaders can minimize potential tariff disruption impact by leveraging 3PLs to optimize costs and increase efficiency and shipment accuracy Supply chain leaders can minimize potential tariff disruption impact by leveraging 3PLs to optimize costs aï¿½,GlobeNewswire,10-02-2025 20:30,https://www.globenewswire.com/news-release/2025/02/10/3023554/0/en/ITF-Group-Helps-Food-Distributors-Withstand-Potential-Tariff-Disruptions.html,0.0,Delayed,21,Medium,9.999978379,Medium
Navigating Maritime Logistics Challenges with nVisionï¿½Globalï¿½sComprehensive Solutions,"In the ever-changing global logistics landscape, businesses are facing unprecedented challenges from geopolitical uncertainties and regulatory shifts to supply chain disruptions caused by climate change and natural disasters. These challenges...",gcaptain.com,03-02-2025 07:21,https://gcaptain.com/navigating-maritime-logistics-challenges-with-nvision-globalscomprehensive-solutions/,0.233333333,Pending,9,High,3.875358976,High
Why digital resilience is critical to banks,"Going beyond the traditional ï¿½Prevent, Detect, and Respondï¿½ framework and taking a proactive approach Partner Contentï¿½ In today's highly connected and technology-driven world, digital resilience is not just a competitive advantage for banks - it is a necessitï¿½",Theregister.com,04-02-2025 08:29,https://www.theregister.com/2025/02/04/why_digital_resilience_is_critical/,0.053333333,In Transit,30,Low,9.90944371,Medium
Trader Joe's Puts Limits on People Buying Eggs Amid Shortage,"After the most recent bird flu outbreak, egg supply shortages have also caused prices to increase at stores nationwide.",Newsweek,10-02-2025 23:50,https://www.newsweek.com/trader-joes-limits-people-buying-eggs-amid-shortage-2028911,0.25,Pending,2,Medium,0.413525528,Low
TSMC tightens restrictions on Chinese IC firms in line with US semiconductor controls,"Taiwan Semiconductor Manufacturing Company (TSMC) has reportedly implemented new shipment restrictions on Chinese IC design firms amid intensifying US-China trade tensions. Effective January 31, 2025, products using 16/14nm and below technologies must be packï¿½",Digitimes,08-02-2025 15:13,https://www.digitimes.com/news/a20250208VL200/tsmc-ic-taiwan-packaging-ic-design.html,0.245454545,Delayed,26,High,9.984684262,High
"US Postal Service to accept inbound parcels from China, Hong Kong after suspension","HONG KONG:ï¿½The United States Postal Service (USPS) said on Wednesday (Feb 5) it would accept parcels from China and Hong Kong, in a U-turn after a suspension following President Do",CNA,05-02-2025 19:36,https://www.channelnewsasia.com/world/usps-china-hong-kong-parcels-accepted-after-suspension-trump-us-4919136,0.0,In Transit,9,Low,9.515453022,Medium
Medication Affordability: How Industry Can Do More To Improve Access,Pharmaceutical manufacturers may need new models to maintain sustainable businesses and support patients who cannot afford their medications.,Forbes,04-02-2025 17:30,https://www.forbes.com/councils/forbesbusinesscouncil/2025/02/04/medication-affordability-how-industry-can-do-more-to-improve-access/,0.136363636,Pending,11,Medium,9.752648211,Medium
"Here Comes The Big, Strong Agentic AI Wave","First, it was generative AI. Then, the talk about AGI grew louder. Now, there's a new wave that everybody can't stop talking about.",Forbes,05-02-2025 18:57,https://www.forbes.com/sites/kolawolesamueladebayo/2025/02/05/here-comes-the-big-strong-agentic-ai-wave/,0.193181818,In Transit,30,High,9.893623536,High
Renowned Shark Tank investor Barbara Corcoran to Headline Kinexions 2025,"Real estate mogul and entrepreneur will take center stage at the premier supply chain conference of the year OTTAWA, Ontario ï¿½ Kinaxisï¿½ (TSX:KXS), a global leader in end-to-end supply chain orchestration, today announced Barbara Corcoran as the celebrity keynï¿½",Financial Post,04-02-2025 17:36,https://financialpost.com/pmn/business-wire-news-releases-pmn/renowned-shark-tank-investor-barbara-corcoran-to-headline-kinexions-2025,0.033333333,Delivered,27,Low,1.443585651,Low
India must seize global supply chain disruption as opportunity: Amitabh Kant,"Amitabh Kant, former Niti Aayog CEO, emphasized that India must leverage the geopolitical instability disrupting global trade to advance in clean-tech manufacturing. He urged focusing on sectors like electric vehicles and sustainable industries to avoid reliaï¿½",The Times of India,26-02-2025 17:36,https://economictimes.indiatimes.com/news/india/india-must-seize-global-supply-chain-disruption-as-opportunity-amitabh-kant/articleshow/118580406.cms,0.0,In Transit,13,Medium,9.999949295,Medium
These 4 Retailers May Not Be as Impacted by Tariffs ï¿½ Should You Shop There?,"With President Donald Trump's tariff plan rolling out -- and with it, a 10% additional tariff on Chinese goods as well as 25% tariffs on goods coming from...",Yahoo Entertainment,23-02-2025 18:31,https://finance.yahoo.com/news/4-retailers-may-not-impacted-130105730.html,0.0,In Transit,8,High,0.57128191,High
